,Region,Country/Territory,2011,2021,Type,2015,2019,2010,Country Code,Year,Value,2017
61,Europe,Greece,5.1,6.4,Country,7.5,4.7,6.0,GRC,2017,4.55,4.6
62,North America and Caribbean,Grenada,8.6,12.6,Country,10.0,10.7,9.5,GRD,2017,10.71,10.7
63,Western Pacific,Guam,8.6,19.1,Country,19.0,18.7,6.7,GUM,2017,21.52,21.5
64,South and Central America,Guatemala,9.3,13.1,Country,9.1,10.0,8.6,GTM,2017,10.18,10.2
65,Africa,Guinea,4.4,2.1,Country,1.9,2.4,4.3,GIN,2017,2.42,2.4
66,North America and Caribbean,Guyana,16.7,11.7,Country,11.0,11.6,9.5,GUY,2017,11.62,11.6
67,North America and Caribbean,Haiti,6.6,8.9,Country,5.6,6.7,7.2,HTI,2017,6.65,6.6
68,South and Central America,Honduras,6.7,5.1,Country,7.4,7.3,9.1,HND,2017,7.21,7.2
69,Europe,Hungary,6.0,7.0,Country,9.3,6.9,6.4,HUN,2017,7.55,7.6
70,Europe,Iceland,3.2,5.5,Country,7.6,5.8,1.6,ISL,2017,5.31,5.3
71,South-East Asia,India,9.0,9.6,Country,8.7,10.4,7.8,IND,2017,10.39,10.4
72,Western Pacific,Indonesia,5.1,10.6,Country,6.2,6.3,4.8,IDN,2017,6.32,6.3
73,Middle East and North Africa,Iraq,9.1,10.7,Country,7.2,8.8,10.2,IRQ,2017,8.83,8.8
74,Europe,Ireland,5.2,3.0,Country,5.3,3.2,5.2,IRL,2017,3.28,3.3
75,Europe,Israel,7.4,8.5,Country,8.5,9.7,6.5,ISR,2017,6.74,6.7
76,Europe,Italy,5.1,6.4,Country,7.9,5.0,5.9,ITA,2017,4.78,4.8
77,North America and Caribbean,Jamaica,15.7,11.1,Country,11.0,11.3,10.6,JAM,2017,11.28,11.3
78,Western Pacific,Japan,7.7,6.6,Country,7.6,5.6,5.0,JPN,2017,5.72,5.7
79,Middle East and North Africa,Jordan,12.1,15.4,Country,9.1,12.7,10.1,JOR,2017,11.75,11.8
80,Europe,Kazakhstan,7.7,6.6,Country,6.2,6.1,5.8,KAZ,2017,7.11,7.1
81,Africa,Kenya,5.1,4.0,Country,2.2,3.1,3.5,KEN,2017,2.92,2.9
82,Western Pacific,Kiribati,25.3,22.1,Country,16.0,22.5,6.6,KIR,2017,22.66,22.7
83,Middle East and North Africa,Kuwait,20.7,24.9,Country,14.0,12.2,14.6,KWT,2017,15.84,15.8
84,Europe,Latvia,7.8,5.9,Country,7.3,5.0,7.6,LVA,2017,4.91,4.9
85,Middle East and North Africa,Lebanon,19.6,8.0,Country,12.0,11.2,7.8,LBN,2017,12.71,12.7
86,Africa,Lesotho,3.4,4.6,Country,2.9,4.5,3.9,LSO,2017,3.94,3.9
87,Africa,Liberia,3.3,2.1,Country,1.9,2.4,4.7,LBR,2017,2.42,2.4
88,Middle East and North Africa,Libya,13.8,8.7,Country,9.2,10.2,9.0,LBY,2017,10.43,10.4
89,Europe,Liechtenstein,4.7,6.1,Country,8.9,9.4,8.9,LIE,2017,7.77,7.8
90,Europe,Lithuania,7.8,5.8,Country,5.5,3.8,7.6,LTU,2017,3.67,3.7
91,Europe,Luxembourg,4.5,5.9,Country,5.7,5.0,5.3,LUX,2017,4.42,4.4
92,Africa,Madagascar,4.7,4.6,Country,3.3,4.5,3.2,MDG,2017,3.94,3.9
93,Africa,Malawi,5.6,7.3,Country,2.7,4.5,2.3,MWI,2017,3.94,3.9
94,Western Pacific,Malaysia,12.1,19.0,Country,16.0,16.7,11.6,MYS,2017,16.74,16.7
95,South-East Asia,Maldives,9.2,9.2,Country,7.5,9.2,7.4,MDV,2017,9.19,9.2
96,Africa,Mali,1.9,2.1,Country,1.8,2.4,4.2,MLI,2017,2.42,2.4
97,Europe,Malta,6.6,8.0,Country,13.0,8.3,6.8,MLT,2017,8.83,8.8
98,Western Pacific,Marshall Islands,21.8,23.0,Country,21.0,30.5,9.1,MHL,2017,30.53,30.5
99,Africa,Mauritania,4.3,2.1,Country,2.0,7.1,4.8,MRT,2017,2.42,2.4
100,South-East Asia,Mauritius,14.8,22.6,Country,24.0,22.0,16.2,MUS,2017,22.02,22.0
101,North America and Caribbean,Mexico,15.6,16.9,Country,14.0,13.5,10.8,MEX,2017,13.06,13.1
102,Europe,Monaco,5.6,6.2,Country,8.1,2.9,6.7,MCO,2017,5.46,5.5
103,Western Pacific,Mongolia,7.1,6.9,Country,5.1,4.7,1.6,MNG,2017,4.82,4.8
104,Europe,Montenegro,7.7,9.1,Country,12.0,9.0,6.9,MNE,2017,10.08,10.1
105,Middle East and North Africa,Morocco,6.8,9.1,Country,7.7,7.0,8.3,MAR,2017,7.14,7.1
106,Africa,Mozambique,3.1,3.3,Country,2.3,3.3,4.0,MOZ,2017,3.3,3.3
107,Western Pacific,Myanmar,7.1,7.1,Country,6.5,3.9,3.2,MMR,2017,4.61,4.6
108,Africa,Namibia,7.8,6.7,Country,3.5,4.5,4.4,NAM,2017,3.94,3.9
109,Western Pacific,Nauru,20.4,23.4,Country,23.0,12.0,30.9,NRU,2017,24.07,24.1
110,South-East Asia,Nepal,3.6,8.7,Country,3.3,7.2,3.9,NPL,2017,7.26,7.3
111,Europe,Netherlands,5.3,4.5,Country,7.9,5.4,5.3,NLD,2017,5.29,5.3
112,Western Pacific,New Caledonia,8.6,23.4,Country,20.0,21.8,7.2,NCL,2017,23.36,23.4
113,Western Pacific,New Zealand,8.6,6.2,Country,9.1,6.2,5.2,NZL,2017,8.08,8.1
114,South and Central America,Nicaragua,11.0,9.3,Country,7.7,11.4,10.0,NIC,2017,11.47,11.5
115,Africa,Niger,4.2,5.2,Country,1.9,2.4,3.9,NER,2017,2.42,2.4
116,Africa,Nigeria,4.8,3.6,Country,1.9,3.1,4.7,NGA,2017,2.42,2.4
117,Europe,Norway,4.7,3.6,Country,7.8,5.3,3.6,NOR,2017,5.31,5.3
118,Middle East and North Africa,Oman,10.5,13.8,Country,9.9,10.1,13.4,OMN,2017,12.61,12.6
119,Middle East and North Africa,Pakistan,7.9,30.8,Country,6.9,19.9,9.1,PAK,2017,8.35,8.4
120,Western Pacific,Palau,11.1,17.0,Country,20.0,17.9,9.1,PLW,2017,15.89,15.9
