Country,Current account balance_Percent of GDP_average,Current account balance_U.S. dollars_average,General government gross debt_National currency_average,General government gross debt_Percent of GDP_average,General government net lending/borrowing_National currency_average,General government net lending/borrowing_Percent of GDP_average,General government primary net lending/borrowing_National currency_average,General government primary net lending/borrowing_Percent of GDP_average,General government revenue_National currency_average,General government revenue_Percent of GDP_average,General government total expenditure_National currency_average,General government total expenditure_Percent of GDP_average,Gross domestic product based on purchasing-power-parity (PPP) share of world total_Percent_average,"Gross domestic product corresponding to fiscal year, current prices_National currency_average","Gross domestic product per capita, constant prices_National currency_average","Gross domestic product per capita, constant prices_Purchasing power parity; 2017 international dollar_average","Gross domestic product per capita, current prices_National currency_average","Gross domestic product per capita, current prices_Purchasing power parity; international dollars_average","Gross domestic product per capita, current prices_U.S. dollars_average","Gross domestic product, constant prices_National currency_average","Gross domestic product, constant prices_Percent change_average","Gross domestic product, current prices_National currency_average","Gross domestic product, current prices_Purchasing power parity; international dollars_average","Gross domestic product, current prices_U.S. dollars_average","Gross domestic product, deflator_Index_average",Gross national savings_Percent of GDP_average,Implied PPP conversion rate_National currency per current international dollar_average,"Inflation, average consumer prices_Index_average","Inflation, average consumer prices_Percent change_average","Inflation, end of period consumer prices_Index_average","Inflation, end of period consumer prices_Percent change_average",Population_Persons_average,Total investment_Percent of GDP_average,Volume of Imports of goods_Percent change_average,Volume of exports of goods_Percent change_average,Volume of exports of goods and services_Percent change_average,Volume of imports of goods and services_Percent change_average,Region,cluster,HDI_Average,Education Index_average
Niger,-12.90118181818182,-1.3721818181818184,1775.0754545454545,28.22409090909091,-220.56972727272725,-3.5717272727272733,-184.6559090909091,-3.0256363636363637,967.6340909090907,16.338818181818183,1188.2028181818182,19.91045454545455,0.0208181818181818,5832.376363636364,286502.0309090909,1132.9700000000005,286167.68636363634,1163.477272727273,529.6080000000002,5808.143636363637,5.9363636363636365,5832.376363636364,23.587454545454545,10.707454545454542,99.62263636363636,16.923545454545458,245.39827272727268,100.60218181818182,0.926818181818182,101.0258181818182,0.8547272727272728,20.13381818181818,30.21736363636364,3.6916363636363636,2.1591818181818185,9.03,6.133454545454544,Africa,2,0.3662,0.2195
Nigeria,0.8654545454545457,3.463090909090908,24035.94727272727,21.92436363636364,-3854.4352727272735,-3.418636363636364,-2481.778,-2.1776363636363643,9078.42,9.897999999999998,12932.853636363638,13.316636363636364,0.8374545454545455,100414.55272727273,364275.5663636364,5214.7136363636355,542642.3327272728,5193.988181818181,2470.759090909091,66119.07818181819,3.3007272727272734,100414.55272727273,944.992,445.425909090909,149.38063636363634,19.054181818181817,104.07372727272728,196.42236363636368,11.934636363636365,206.9109090909091,12.060636363636364,181.60518181818185,18.18890909090909,8.817545454545455,-0.2744545454545454,0.2806363636363633,5.845272727272728,Africa,2,0.5172,0.4637
Norway,7.973818181818182,36.63718181818182,1144.7830909090908,36.25536363636363,221.44427272727268,7.314454545454544,153.42254545454543,5.153818181818182,1728.6472727272726,54.992,1507.2045454545455,47.67763636363637,0.294,3145.5254545454545,651545.5472727275,61572.51818181817,606156.4309090909,63466.362727272724,84788.32636363637,3377.070909090909,1.2688181818181816,3145.5254545454545,328.88536363636365,437.7975454545455,92.96518181818182,35.6709090909091,9.55290909090909,109.91763636363636,2.0344545454545453,102.0,2.004454545454545,5.180363636363637,27.68609090909091,2.5401818181818188,0.1317272727272727,0.8227272727272726,2.0820909090909083,Europe,3,0.9475,0.9169
Oman,-2.86390909090909,-1.873636363636364,7.7891818181818175,28.619,-1.4680000000000002,-5.547545454545456,-1.4718181818181817,-5.5538181818181815,11.02909090909091,39.868545454545455,12.497090909090907,45.4160909090909,0.1280909090909091,27.47536363636364,6586.744545454543,31007.63,6871.158181818181,35920.02090909091,17870.373636363638,26.531999999999996,2.4828181818181823,27.47536363636364,142.518,71.45718181818181,104.13763636363636,21.902636363636365,0.1926363636363636,102.0409090909091,1.3966363636363637,101.40745454545454,1.3238181818181818,4.051,24.754363636363635,1.739363636363637,2.6148181818181815,2.7214545454545447,2.2378181818181817,Middle East and North Africa,1,0.8029999999999999,0.6923
Pakistan,-2.374727272727273,-6.467272727272728,19565.139090909088,68.55172727272726,-1862.7888181818184,-6.677090909090907,-545.0971818181819,-2.0398181818181818,3987.104545454546,14.325727272727274,5849.892727272727,21.002636363636363,0.7759090909090909,27585.838181818184,56428.066363636346,4584.81,143163.8009090909,4607.810909090909,1330.5190909090911,10760.021818181818,3.5238181818181817,27585.838181818184,879.9078181818181,253.84418181818185,251.08336363636363,13.12,30.68181818181819,96.49454545454546,7.608272727272726,99.06072727272726,7.500272727272729,189.9653636363637,15.494818181818182,6.271181818181819,1.6116363636363635,1.6837272727272719,5.23209090909091,Middle East and North Africa,1,0.5337,0.3704
Panama,-8.014363636363637,-3.8397272727272718,20.315181818181816,39.903818181818174,-1.6250909090909091,-3.0650909090909084,-0.7385454545454544,-1.3008181818181817,10.302363636363637,20.576,11.927363636363635,23.64090909090909,0.0853636363636363,50.81218181818181,8787.233636363635,27255.31090909091,12688.466363636364,24504.621818181826,12688.466363636364,35.06536363636363,3.987,50.81218181818181,98.42081818181818,50.81218181818181,143.0360909090909,32.27045454545455,0.5243636363636365,99.96827272727272,2.0295454545454548,100.46990909090908,1.9398181818181817,3.973181818181818,40.284909090909096,1.0980909090909097,-2.4384545454545457,-0.4669999999999997,1.7119999999999995,South and Central America,6,0.7968,0.6817
Paraguay,0.7956363636363636,0.2950909090909091,38007.41727272728,18.762363636363638,-3457.224363636364,-1.5032727272727269,-1761.5262727272727,-0.6668181818181818,34333.58181818182,17.913545454545453,37790.80454545455,19.416818181818183,0.0693636363636363,189567.89636363642,27196309.66363636,11599.047272727274,27853139.23636364,11562.753636363635,5354.3263636363645,184311.9909090909,3.867090909090909,189567.89636363642,78.46154545454544,36.208272727272735,101.79290909090908,22.739363636363638,2394.36,91.05490909090908,3.9648181818181816,92.55927272727273,3.983000000000001,6.757272727272728,21.943909090909084,4.586636363636362,2.8377272727272733,2.7469090909090905,4.9759090909090915,South and Central America,5,0.7149,0.6229
Peru,-2.539727272727273,-4.939727272727271,153.55327272727277,24.76854545454545,-10.028636363636364,-1.3019999999999998,-3.5903636363636378,-0.2604545454545455,123.2398181818182,20.414272727272728,133.26863636363635,21.716454545454546,0.32,610.1757272727273,15112.170000000002,11729.690909090908,19409.277272727275,11547.535454545454,6319.370909090908,473.4969090909091,3.0800909090909085,610.1757272727273,362.31236363636367,198.0016363636364,127.85027272727274,20.234636363636373,1.6727272727272728,118.93609090909092,2.7119999999999997,120.17127272727272,2.7827272727272723,31.26999999999999,22.774363636363635,4.100545454545454,1.8469090909090904,1.8469090909090904,4.100545454545454,South and Central America,3,0.7546,0.7051
Philippines,1.6089090909090904,4.262727272727273,5953.024545454545,42.1469090909091,-164.888,-0.9935454545454546,118.84618181818183,1.0822727272727273,2666.8345454545456,18.39490909090909,2831.722727272728,19.388181818181817,0.6603636363636364,14292.449090909091,148534.29999999993,7386.040909090908,140315.9209090909,7414.483636363637,2976.767272727273,15088.284545454546,4.954909090909091,14292.449090909091,754.1279090909093,302.2364545454545,93.794,23.85990909090909,18.83318181818182,107.82272727272726,2.9955454545454545,109.2818181818182,3.0339090909090913,100.96181818181816,22.25127272727273,6.53209090909091,6.595454545454545,7.612,6.7046363636363635,Western Pacific,5,0.696,0.6553
Poland,-1.7109999999999999,-8.450181818181818,970.6669999999999,52.57063636363637,-61.96400000000001,-3.4892727272727275,-27.391272727272728,-1.5527272727272723,737.9464545454546,39.666909090909094,799.9104545454545,43.15609090909091,0.9270909090909092,1853.3227272727274,48171.060909090906,28330.273636363636,48768.278181818176,27699.35181818181,13938.379090909091,1830.6936363636364,3.084272727272728,1853.3227272727274,1052.6398181818183,529.7443636363636,100.76727272727273,18.578636363636367,1.7629090909090912,168.9121818181818,1.7447272727272731,167.41009090909088,1.7363636363636359,38.00772727272727,20.289545454545454,5.876,6.899272727272727,6.899272727272727,5.876,Europe,5,0.8603,0.8506
Portugal,-1.225181818181818,-2.992636363636364,231.8771818181818,124.557,-8.64272727272727,-4.814727272727274,-1.9512727272727268,-1.1874545454545449,80.0,42.96063636363636,88.6429090909091,47.77545454545455,0.2814545454545454,186.30418181818183,18078.844545454547,31918.564545454552,17931.71272727273,30541.665454545448,21806.222727272725,187.91118181818183,0.0237272727272726,186.30418181818183,317.2122727272727,226.72699999999998,99.03072727272728,15.58209090909091,0.5890909090909089,100.14963636363636,1.0952727272727272,100.32090909090908,1.0397272727272728,10.397090909090913,17.25681818181818,1.3027272727272727,3.0780000000000003,2.801181818181819,1.3721818181818184,Europe,6,0.8476,0.7477
Romania,-3.350272727272728,-6.947727272727272,295.83236363636365,38.255545454545455,-29.87972727272728,-3.7211818181818175,-19.64490909090909,-2.3517272727272727,231.02536363636364,30.662,260.90481818181814,34.38354545454545,0.4064545454545454,762.0749090909088,36985.769090909096,24721.52818181819,38583.210909090914,23464.665454545448,10240.27818181818,731.9027272727272,2.4677272727272728,762.0749090909088,463.76890909090906,202.58690909090907,102.67581818181816,21.699818181818177,1.6303636363636365,114.05427272727276,2.783636363636364,115.20536363636366,2.6988181818181824,19.829272727272727,25.047000000000004,7.9991818181818175,8.477000000000002,7.8859999999999975,7.7583636363636375,Europe,5,0.8140000000000001,0.7685
Rwanda,-10.343545454545453,-0.9009999999999999,2471.7718181818177,34.23390909090909,-205.78381818181825,-2.7667272727272727,-141.61945454545454,-1.8829090909090909,1512.307090909091,23.41354545454545,1718.0919090909092,26.18036363636364,0.0181818181818181,6465.363636363636,613563.2918181819,1887.1536363636358,562773.4681818183,1829.7318181818187,748.910272727273,6988.272727272727,6.210727272727272,6465.363636363636,20.930090909090904,8.501636363636363,90.45736363636364,7.690636363636362,304.4300909090909,105.16154545454545,4.076363636363637,106.15654545454544,3.8450909090909087,11.287727272727272,23.231090909090906,8.68090909090909,8.490909090909092,8.490909090909092,8.68090909090909,Africa,2,0.5207,0.45
Saudi Arabia,7.896363636363635,56.34081818181818,316.7652727272728,11.901363636363639,-80.09454545454545,-3.0848181818181817,-104.61827272727272,-4.030636363636364,878.3978181818184,33.35027272727273,958.4912727272726,36.435272727272725,1.4342727272727271,2626.983636363636,77893.16454545454,47486.482727272734,84212.49909090907,51455.040909090916,22456.666363636363,2433.061818181818,2.771909090909092,2626.983636363636,1600.5581818181818,700.5286363636365,108.11490909090908,36.33845454545454,1.6373636363636364,94.72654545454544,2.0318181818181817,95.37272727272726,2.0463636363636364,31.23427272727273,28.442181818181826,3.703272727272728,2.732454545454545,2.482545454545455,1.2257272727272726,Middle East and North Africa,4,0.8442,0.7681
